status,url_length,digits_len,num_subdomains,domain_length,path_length,uses_https,count_hyphens,count_at,count_dots,suspicious_words,special_char_count,shannon_entropy
1,51,0,1,32,12,0,0,0,2,1,7,4.287539254067758
0,45,6,1,11,26,1,0,0,3,0,9,4.322315530038771
1,159,43,0,14,51,0,0,0,2,0,16,4.917410844470601
1,44,10,1,22,14,1,1,0,2,0,8,4.618078209349709
1,103,8,1,19,4,1,1,1,3,0,12,5.208074012864434
1,46,0,2,20,19,0,0,0,4,0,10,4.013041446157795
0,45,0,1,16,21,1,0,0,2,0,8,4.143607886039516
1,51,0,2,26,18,0,0,0,3,0,9,4.0322539597804266
1,38,0,1,19,12,0,0,0,3,0,8,3.893086896197163
1,81,23,1,27,47,0,0,0,2,0,8,4.774811040285755
0,112,0,1,31,74,0,10,0,2,0,17,4.309917821209997
1,39,0,1,16,15,1,0,0,2,0,7,3.9233659245349726
1,99,8,1,15,76,1,2,0,2,0,14,5.234860534743135
0,45,0,1,27,10,1,1,0,2,0,7,4.224751985026256
1,60,2,3,35,18,0,1,0,5,0,11,4.129085753935211
0,74,6,1,19,48,0,0,0,3,0,17,4.635081832331412
0,61,0,1,18,36,0,3,0,3,0,11,4.079332469209647
1,40,5,3,32,0,1,0,0,4,0,7,4.215311532225101
1,52,2,1,24,21,0,0,0,3,1,8,4.378727103656465
1,88,0,2,24,33,1,1,1,7,0,15,4.325560813820691
0,74,2,0,12,27,0,0,0,2,0,10,4.18588130783542
0,46,3,1,16,23,0,1,0,2,0,9,4.468576629687865
0,54,0,1,17,30,0,0,0,3,0,8,4.367964298652708
1,54,0,0,21,26,0,1,0,1,0,9,4.233795548692773
0,38,0,1,16,14,1,0,0,2,1,8,4.238334671954105
0,67,0,1,15,45,0,3,0,2,0,11,4.361417557494121
1,62,0,0,13,42,0,1,0,5,0,14,4.350294142705842
1,59,4,0,17,35,0,0,0,3,0,10,4.342507092741192
1,57,1,2,38,11,1,0,0,4,0,8,4.166333549959635
0,32,0,0,12,13,0,1,0,1,0,7,3.9292292966721747
1,46,0,1,25,14,0,0,0,2,0,8,3.9610771086455516
0,37,0,1,16,13,1,0,0,2,0,7,4.003259028248121
1,36,1,1,29,0,0,0,0,2,0,5,4.062305474194334
1,52,2,0,18,27,0,0,0,2,0,10,4.187535209236147
1,32,8,1,24,1,0,0,0,2,0,6,3.8431390622295662
0,34,0,0,11,15,1,0,0,1,0,5,3.836600340868551
0,27,0,2,19,1,0,0,0,3,0,7,3.6241717609419575
1,92,28,1,22,63,0,1,0,2,0,12,4.706166744360949
0,102,6,1,12,83,0,7,0,2,0,17,4.821601779987788
0,32,0,1,23,1,1,0,0,2,0,6,4.007048827786958
0,29,0,1,20,1,1,0,0,2,0,6,3.853863219997788
1,119,1,1,24,60,0,1,0,4,0,18,4.541303344505569
0,59,4,1,21,30,1,0,0,2,0,9,4.348685533022554
0,54,0,0,19,28,0,2,0,2,0,8,4.233795548692774
1,151,41,0,10,134,0,1,1,3,0,9,5.1182175492354895
0,84,3,1,25,52,0,5,0,3,0,14,4.355023566265563
1,55,0,1,10,38,0,1,0,3,1,11,4.381473923348459
0,18,0,0,9,1,1,0,0,1,0,5,3.3082708345352603
0,39,0,1,16,15,1,0,0,2,0,6,4.060416641661804
0,28,0,1,19,1,1,1,0,2,0,7,3.8962915290459277
0,32,0,1,16,9,0,1,0,3,0,8,3.8431390622295662
0,16,0,0,9,0,0,0,0,1,0,4,3.5
1,23,0,0,12,4,0,0,0,1,0,6,3.708132064658602
0,29,0,2,21,1,0,0,0,3,0,7,3.9952378913808873
1,29,0,1,20,1,1,0,0,2,0,6,3.9262723741395082
0,41,0,1,15,18,1,0,0,2,0,7,4.11073699294092
1,22,4,0,6,8,1,0,0,1,0,5,4.027169118440616
1,52,2,1,14,31,0,0,0,3,0,10,4.635361295347743
1,38,1,1,20,11,0,0,0,3,0,10,3.9182084341546157
0,30,0,2,21,1,1,0,0,3,0,7,4.0062389286533895
1,76,8,3,50,19,0,1,0,4,2,10,4.409893507236863
1,430,17,2,13,10,0,0,1,24,0,99,4.7147887327312095
0,37,0,1,19,11,0,0,0,2,0,6,3.848249906801916
0,73,5,1,23,43,0,5,0,3,0,12,4.385756848415241
1,56,6,1,15,34,0,0,0,2,0,11,4.7334448240680045
0,70,0,0,13,49,1,7,0,1,0,14,4.388361818902569
1,70,0,1,20,43,0,0,0,3,0,10,4.425591860285231
0,52,4,1,19,26,0,1,0,2,0,9,4.38815450741941
0,31,0,1,22,1,1,1,0,2,0,7,3.8403471164197516
1,90,22,1,19,63,1,0,0,4,0,11,4.598093131678854
0,45,7,1,15,23,0,0,0,3,0,9,4.320096297369663
0,55,2,1,20,28,0,0,0,3,0,9,4.490564832439369
1,65,5,1,12,46,0,2,0,3,0,12,4.504394113022326
1,41,3,1,33,1,0,1,0,2,0,7,4.113172736114331
1,71,12,0,25,26,1,1,0,2,0,11,4.739339154893165
1,83,6,1,16,46,1,0,0,2,0,12,5.006754715499977
1,73,25,0,18,48,0,1,0,1,1,8,4.773958169341782
1,44,9,1,30,7,0,2,0,2,0,8,4.555467129755084
1,114,6,1,16,14,0,1,0,4,0,17,4.845000791663592
1,127,20,3,50,19,1,1,0,4,3,18,4.845831026631984
1,99,7,1,20,4,0,0,1,4,0,12,5.141475560017514
1,56,0,1,20,29,0,1,0,2,0,11,4.518411895854318
0,51,0,1,17,26,1,0,0,3,0,8,4.110685332329446
1,51,0,1,14,30,0,0,0,5,1,10,3.861042196724363
0,40,0,1,24,8,1,1,0,2,0,9,4.393942707918268
1,33,0,2,14,12,0,0,0,3,0,10,3.861983513035609
0,88,0,1,20,60,1,5,0,2,0,14,4.370833399832015
0,122,6,1,18,96,1,0,0,2,0,21,4.121200690389197
0,53,0,1,20,26,0,0,0,3,0,8,4.207102361466449
1,46,4,5,37,1,1,1,0,6,0,11,4.338141847079169
1,36,0,1,29,0,0,0,0,2,0,5,4.083274571476652
0,31,0,1,23,1,0,0,0,2,1,6,3.8001821971347023
0,48,0,1,16,24,1,2,0,2,0,11,4.147593366144262
1,101,0,0,6,39,1,0,0,2,0,14,4.264700218300117
0,41,0,1,19,15,0,0,0,3,0,8,4.277926089825634
1,43,4,3,35,1,0,0,0,4,1,8,4.303830742923251
0,15,0,0,8,0,0,0,0,1,0,4,3.506890595608518
0,42,3,1,10,25,0,3,0,3,0,10,4.246151577840245
0,51,0,0,15,29,0,3,0,1,0,9,3.9530021170359873
1,48,0,1,27,14,0,3,0,3,0,11,3.965199876515855
0,49,0,0,19,23,0,0,0,1,1,8,4.245453029221314
1,25,0,0,13,1,1,1,0,1,0,8,4.213660689688185
0,49,1,1,15,26,1,2,0,2,0,10,4.00799441649887
0,48,1,1,25,16,0,1,0,3,0,8,4.2665414066556515
1,108,4,1,25,29,0,1,1,4,0,15,4.68675711922719
1,39,0,0,20,12,0,0,0,2,0,7,4.028490680178816
0,80,0,2,20,53,0,3,0,4,0,13,4.4995817701478344
0,36,0,1,17,12,0,1,0,2,0,7,3.9749375012019263
0,28,0,1,19,1,1,1,0,2,0,7,3.91379956460568
1,33,2,1,14,11,1,0,0,2,0,6,4.513794876803093
0,23,0,2,14,1,1,0,0,3,0,7,3.696624999159019
0,77,0,1,18,51,1,5,0,2,0,12,4.311779809188084
1,342,142,2,19,315,1,6,1,5,0,37,5.2988521944101725
1,38,5,1,29,1,1,1,0,2,0,7,4.293594289588575
0,73,0,1,22,44,0,5,0,2,0,12,4.2945545745150735
0,33,0,1,15,10,1,0,0,2,0,7,4.12728313431329
1,67,0,1,17,43,0,1,0,3,0,12,4.139601691100084
0,39,2,1,18,13,1,0,0,2,0,7,4.201692923824033
0,24,0,1,15,1,1,0,0,2,0,6,3.8035088547976788
0,26,0,1,17,1,1,0,0,2,0,6,3.8441065448145375
0,39,5,0,7,24,1,0,0,2,0,9,4.1604200911461655
1,62,22,2,22,33,0,1,0,3,0,8,4.758406544460784
1,41,0,0,13,21,0,1,0,2,1,8,4.241102309232295
1,40,0,1,31,1,1,0,0,2,0,6,4.043942707918268
0,51,0,1,26,18,0,2,0,3,0,9,4.18520041193298
0,59,4,1,12,39,1,3,0,2,0,12,4.427584211531937
0,50,0,1,20,22,1,0,0,3,0,9,3.921593511005629
1,52,3,1,25,20,0,1,0,2,0,8,4.079965439170122
1,43,0,0,15,21,0,1,0,2,0,8,3.9987280573706054
1,94,12,1,42,45,0,4,0,3,0,13,4.325034001454413
0,60,0,1,15,38,0,0,0,4,0,9,4.025756904931549
0,18,0,0,11,0,0,0,0,1,0,4,3.6143694458867563
1,204,27,1,27,23,1,1,0,2,1,15,5.6343465785242275
1,94,15,2,24,43,1,0,1,7,0,14,4.688460097983368
1,41,0,3,33,1,0,1,0,4,0,9,4.043544614839371
1,19,3,1,11,1,0,0,0,2,0,6,3.576617644908665
1,35,1,0,22,6,0,1,0,2,0,7,3.9760107890421
1,63,0,0,26,30,0,0,0,3,0,10,4.163965146396304
1,53,4,1,21,25,0,0,0,2,0,9,4.284458313732673
1,75,0,3,44,24,0,3,0,4,2,15,4.177328825158426
1,35,4,1,27,0,1,0,0,2,0,5,4.272140159802108
1,210,14,1,14,4,1,1,0,4,0,37,5.335964154987066
0,44,0,0,13,23,1,2,0,1,0,7,4.0360409258397825
1,150,73,3,40,9,0,0,0,5,0,12,4.430847778121618
1,39,0,1,22,10,0,1,0,3,0,9,4.028490680178816
1,64,0,1,15,42,0,1,0,2,2,13,4.163702445739504
1,106,17,2,20,39,1,4,0,4,0,18,5.034155776226639
1,34,0,1,20,6,1,0,0,2,0,7,4.0286393118385755
0,65,0,1,16,41,1,0,0,2,0,12,4.322314067428179
1,60,2,1,14,39,0,1,0,3,0,13,4.309416071742446
1,25,0,0,14,4,0,0,0,1,0,6,3.813660689688185
0,39,5,1,21,11,0,0,0,2,0,7,4.291687154704211
0,38,0,1,15,16,0,1,0,3,0,9,4.201231789474708
1,129,3,0,8,27,1,1,0,2,0,23,5.238177620161939
0,52,0,1,15,29,1,2,0,2,0,10,4.159802527016963
1,30,11,2,14,9,0,0,0,3,0,8,3.8980685120588383
0,33,0,1,24,1,1,0,0,2,0,6,3.861983513035609
0,118,9,1,27,84,0,6,0,3,0,15,4.554342919025287
0,27,0,0,20,0,0,1,0,1,0,5,3.8380398168981564
0,78,13,1,16,55,0,0,0,3,0,16,4.645817969512606
1,35,1,1,27,1,0,1,0,2,0,7,4.185867302411998
1,32,0,0,18,7,0,1,0,1,0,7,3.902518266288633
1,64,4,3,39,18,0,3,0,5,0,13,4.320967001462483
1,38,3,1,29,1,1,1,0,2,0,7,4.293594289588574
0,24,0,2,15,1,1,0,0,3,0,7,3.709147917027245
0,68,0,1,15,46,0,0,0,3,0,9,4.287409488398752
1,126,21,3,50,20,1,1,0,4,3,19,4.66956877015949
0,41,0,1,16,17,1,0,0,2,0,8,4.161953223919209
0,48,0,1,16,24,1,0,0,2,0,9,4.478308011580246
0,29,0,1,21,1,0,0,0,2,0,6,3.9262723741395074
0,24,0,1,15,1,1,0,0,2,0,6,3.740601562950723
0,50,1,1,17,25,1,0,0,3,0,10,4.233269689515107
1,126,15,3,50,19,0,1,0,4,3,18,4.7008103025168735
0,39,0,1,11,20,1,0,0,2,0,9,4.162980744225907
1,102,20,0,15,80,0,1,0,1,0,12,4.585580221161115
0,31,2,1,23,1,0,0,0,2,0,6,4.147114052043201
1,86,24,2,22,34,0,1,0,3,0,12,5.102851527630876
0,78,8,1,16,54,1,4,0,2,0,15,4.658557949765055
0,29,0,2,20,1,1,0,0,3,0,7,3.8573068568981284
0,33,7,1,12,6,0,0,0,2,0,7,4.309101316131471
1,27,0,0,12,8,0,1,0,1,0,7,3.8659986132745803
0,24,0,1,15,1,1,0,0,2,0,6,3.6572682296173893
0,39,0,1,20,11,1,0,0,2,0,7,3.9233659245349726
0,28,0,1,21,0,0,1,0,2,0,6,4.208966082694624
1,87,11,1,24,2,0,0,0,2,0,9,5.089511243413619
0,43,0,1,18,18,0,0,0,2,0,8,4.106984383697434
0,27,0,1,19,1,0,0,0,2,0,6,3.810081020521731
0,101,8,1,17,77,0,9,0,2,0,19,4.51960578309583
0,60,0,1,28,25,0,3,0,3,0,10,4.264468304875447
0,38,0,1,13,10,0,0,0,3,0,9,4.306494947369445
1,19,0,0,10,1,1,0,0,1,0,5,3.7474130395316396
0,137,36,1,15,114,1,0,0,3,0,43,3.922508200422574
1,263,34,12,179,47,0,1,0,14,2,29,5.345567892628931
1,22,4,0,6,8,1,0,0,1,0,5,3.936260027531526
1,89,1,0,21,36,0,0,0,3,2,15,4.456589015909593
0,28,0,1,19,1,1,0,0,2,0,6,3.9407598325400897
0,49,1,1,26,16,0,0,0,3,0,7,4.050848813848051
1,45,3,3,36,1,1,2,0,4,0,10,4.266977196801592
1,30,0,1,22,1,0,0,0,2,0,6,3.7898980954642876
1,54,0,0,10,37,0,1,0,2,0,9,4.120835077024071
0,29,0,1,22,0,0,0,0,2,0,5,3.909368063943885
1,86,0,0,16,40,0,1,1,3,0,14,4.421954042031814
1,26,2,1,18,1,0,0,0,2,0,6,3.9500637564362093
0,83,9,1,20,55,1,0,0,2,0,12,4.724041618371038
1,49,0,0,28,13,1,1,0,2,0,7,4.111674323875523
0,33,7,1,12,6,0,0,0,2,0,7,4.369707376737533
0,40,0,1,18,15,0,0,0,2,0,7,4.103055907333275
0,56,0,1,18,31,0,3,0,2,0,11,4.307117985122874
0,27,0,1,18,1,1,0,0,2,0,6,3.676390632579627
0,70,0,1,33,30,0,4,0,3,0,11,4.328035839952227
1,128,7,9,120,1,0,0,0,10,0,14,4.568664968892781
1,25,3,0,6,12,0,0,0,1,0,5,4.213660689688184
0,33,0,1,16,9,1,0,0,2,0,7,4.051821770808045
0,52,0,1,16,28,1,1,0,2,0,8,4.1738228338092815
0,31,0,1,22,1,1,0,0,2,0,6,3.7356660681024443
1,41,4,1,32,1,1,0,0,2,0,6,4.226709858847345
0,33,0,1,24,1,1,0,0,2,0,6,4.104407755459851
1,32,0,0,23,1,1,1,0,1,0,6,4.108458593344349
0,66,2,1,30,22,0,1,0,3,0,11,4.354651036439185
0,85,8,1,14,63,1,7,0,2,0,17,4.471707885254594
0,52,0,1,20,24,1,0,0,2,0,8,4.2892074491938965
0,109,6,1,19,82,1,8,0,3,0,16,4.5567271604833275
0,84,0,0,20,57,0,6,0,1,0,12,4.145610244817931
1,110,14,1,16,17,1,1,0,2,0,11,5.290184432621492
1,171,52,0,25,72,0,1,0,2,1,17,4.967635066856988
0,17,0,0,9,1,0,0,0,1,0,5,3.2483650467509038
0,19,0,0,12,0,0,0,0,1,0,4,3.2608281712244547
1,98,28,2,14,77,0,0,0,4,0,16,4.642785743623148
1,32,0,1,24,1,0,0,0,2,0,6,3.819548827786958
0,28,0,2,20,0,1,0,0,3,0,6,3.9677201004744993
1,64,2,1,31,18,0,0,0,3,0,11,4.386587797403417
0,40,0,1,16,16,1,0,0,2,0,7,3.993942707918268
1,132,15,1,32,92,1,1,0,2,0,15,5.363010150437366
1,124,6,1,24,83,1,2,0,2,0,20,5.159250716031775
1,51,0,0,18,26,0,0,0,2,1,9,3.944210332414287
1,141,41,1,48,85,1,0,0,2,0,9,5.214059842598247
1,126,16,3,50,19,0,1,0,4,3,18,4.753007758905342
0,21,0,1,14,0,0,0,0,2,0,5,3.6537567082870006
0,53,2,1,14,32,0,0,0,2,0,11,4.343315209558403
0,27,0,1,18,1,1,0,0,2,0,6,3.8282375018429557
1,76,21,0,14,55,0,0,0,2,0,9,4.6518719220469045
0,79,0,1,32,40,0,6,0,2,0,13,4.233339134852567
1,77,16,0,23,47,0,0,0,1,0,7,4.58098832806082
0,35,0,1,18,9,1,0,0,2,0,8,3.8401568604088587
0,56,0,1,21,27,1,2,0,3,0,9,4.29583344144878
0,49,4,1,22,20,0,0,0,3,0,9,4.123004049629476
0,41,0,1,20,14,0,0,0,2,0,7,4.122693700152457
1,84,23,1,20,57,0,0,0,2,1,10,4.769545221842161
0,29,0,1,20,1,1,0,0,2,0,6,3.909368063943885
0,21,0,1,12,1,1,0,0,2,0,6,3.5585186130489057
0,35,0,1,13,15,0,0,0,3,0,8,4.050013373778755
0,28,0,1,19,1,1,2,0,2,0,8,3.7979026896829478
1,97,0,2,25,39,1,0,1,5,1,16,4.4598097263261165
1,36,0,0,14,15,0,0,0,1,0,6,3.7845276964165557
0,63,0,1,19,36,1,2,0,3,0,10,4.068472885586725
0,24,0,1,17,0,0,0,0,2,0,5,3.9182958340544896
1,40,1,1,33,0,0,0,0,2,0,5,4.008694969562842
1,85,0,0,17,61,0,1,0,2,1,14,4.247948473388077
1,56,6,3,39,10,0,2,0,5,0,11,4.581833663430985
1,49,0,0,11,31,0,0,0,2,0,9,4.107598182238386
1,23,0,0,10,5,1,0,0,1,0,5,3.588354347173234
1,64,0,0,16,40,1,1,0,2,0,11,4.371018072054204
1,46,2,1,20,18,1,1,0,3,0,11,4.398030705821853
1,36,0,0,9,20,0,0,0,2,0,8,4.006749918638778
0,29,2,1,22,0,0,0,0,2,1,5,4.1162646156680225
1,55,3,1,28,20,0,1,0,2,0,8,4.074554204780528
0,45,0,1,25,13,0,0,0,2,0,7,4.136437130558764
0,33,0,1,25,1,0,0,0,2,0,6,4.006071013101169
1,231,92,1,23,34,1,1,0,3,2,20,4.834476378718605
1,30,0,1,17,5,1,0,0,2,0,6,3.7362434129830606
0,31,0,1,23,1,0,0,0,2,0,6,3.8245334068819106
0,27,0,1,18,1,1,1,0,2,0,7,3.763965742824082
1,81,21,1,27,47,0,0,0,2,0,8,4.811891751120947
0,58,7,1,16,34,1,4,0,2,0,10,4.385841719519742
0,28,0,1,19,1,1,0,0,2,0,6,3.9677201004744993
0,25,0,1,16,1,1,0,0,2,0,6,3.589275070710713
1,87,2,0,13,67,0,0,0,5,1,13,4.443539222022284
0,28,0,1,19,1,1,0,0,2,0,6,3.940759832540089
0,133,8,1,13,112,1,12,0,2,0,23,4.584145045631968
0,26,0,2,17,1,1,0,0,3,0,7,3.891995487039019
1,36,0,0,15,14,0,0,0,1,0,8,3.800919098243859
1,29,0,0,15,6,1,0,0,1,1,5,4.1162646156680225
1,37,0,1,28,1,1,1,0,2,0,7,3.925405392539033
0,33,0,1,24,1,1,0,0,2,0,6,3.937444876540854
0,47,0,1,15,25,0,4,0,2,0,10,4.280667511657909
0,26,3,1,17,1,1,0,0,2,0,6,3.9500637564362093
1,93,2,1,22,37,0,1,1,5,0,17,4.58473005379406
0,44,0,3,27,10,0,0,0,4,0,9,4.226143834398879
1,34,0,1,26,1,0,0,0,2,0,6,3.939829017466402
0,63,0,1,22,34,0,5,0,2,0,12,4.266984590772068
1,56,9,3,36,12,1,2,0,5,0,11,4.496924958035209
1,28,3,1,20,0,1,0,0,2,0,5,3.8518232255517666
0,51,0,1,21,23,0,4,0,3,0,11,4.140288763786837
1,50,3,0,16,27,0,0,0,3,0,8,4.0880471909383065
0,70,6,1,17,46,0,1,0,3,0,11,4.421213196192992
0,41,2,1,12,11,0,0,0,2,0,10,4.326706577630512
0,74,7,1,17,50,0,4,0,2,0,11,4.355959912979334
0,26,0,1,17,1,1,0,0,2,0,6,3.9500637564362093
0,114,6,1,19,87,1,10,0,3,0,19,4.432229685845145
1,49,0,0,26,16,0,1,0,1,0,7,4.027476425527099
0,26,0,1,17,1,1,0,0,2,0,6,3.8150724101159423
0,42,0,1,14,20,1,1,0,2,0,9,4.127569435189147
0,28,0,0,19,1,1,0,0,1,0,5,3.869331261111518
0,29,0,1,20,1,1,0,0,2,0,6,3.9952378913808873
0,32,0,1,15,10,0,0,0,2,0,7,3.8042292966721747
1,34,1,1,25,1,1,1,0,2,0,7,4.175123135113461
1,51,0,1,27,7,0,1,0,2,0,12,4.398038705506969
0,78,0,1,17,53,1,7,0,2,0,14,4.303013995256371
1,43,0,3,29,7,0,0,0,4,0,8,4.0078061858720755
1,154,14,1,32,94,1,1,0,2,0,23,5.289677755803848
0,35,0,2,26,1,1,0,0,3,0,7,3.971302302288371
0,54,0,1,22,25,0,1,0,3,0,8,3.9489052156325104
0,35,0,1,27,1,0,0,0,2,0,6,4.047160074632759
0,25,0,0,16,1,1,0,0,1,0,5,3.8332696895151077
0,27,0,1,19,1,0,0,0,2,0,6,3.8561962982193805
1,61,9,2,12,24,0,0,0,4,1,12,4.772881755872873
1,41,0,1,30,4,0,0,0,2,0,6,4.0346536885808275
1,47,0,0,13,27,0,0,0,2,0,9,3.9611026178567625
0,19,0,1,11,1,0,0,0,2,0,6,3.3918926446809317
0,38,0,1,18,12,1,1,0,2,0,7,4.11583409216322
0,64,6,1,19,38,0,3,0,3,0,12,4.327569336880353
1,271,84,1,20,78,0,0,0,5,2,25,4.800034989733084
1,50,0,0,10,33,0,0,0,1,0,9,4.013340441068115
0,80,7,1,23,49,1,6,0,3,0,15,4.529749859046178
1,67,0,0,28,31,1,0,0,2,0,9,4.277306034756813
1,282,59,1,30,60,1,1,0,3,0,31,5.560336109526664
1,144,6,1,37,90,1,2,0,2,0,19,5.144674915803757
1,52,4,0,20,25,0,1,0,1,0,8,4.443053603040049
0,28,0,1,19,1,1,0,0,2,0,6,3.797902689682947
0,50,0,1,20,22,1,0,0,3,0,9,4.003590820407827
0,60,13,1,19,19,0,1,0,3,0,14,4.658659712448833
0,87,2,1,18,61,1,4,0,2,0,11,4.190615874980422
1,35,4,1,18,10,0,0,0,3,0,7,3.935727659493041
1,102,25,2,15,30,0,0,0,4,0,14,4.691362783965064
0,63,9,1,23,1,1,0,0,2,0,8,4.996733296344086
1,36,0,1,27,1,1,1,0,2,0,7,4.218128820706467
0,21,0,1,12,1,1,0,0,2,0,6,3.52257158913636
1,238,75,1,17,6,1,8,0,3,0,35,5.359925977235665
1,36,10,2,13,16,0,0,0,4,0,8,4.127986806877675
0,38,0,1,29,1,1,0,0,2,0,6,4.108869289360841
1,88,15,2,14,67,0,2,0,5,0,16,4.527543058261796
1,29,0,1,21,1,0,0,0,2,0,6,3.71937582241537
1,27,0,1,17,3,0,0,0,2,0,6,3.810081020521731
1,101,11,1,15,78,1,1,0,2,0,11,5.259040815651282
0,18,0,1,11,0,0,0,0,2,0,5,3.7254805569978675
1,27,0,1,15,5,0,0,0,2,0,7,3.5137847242254345
0,28,1,1,15,5,1,0,0,2,0,7,3.9677201004744997
1,36,1,0,14,15,0,1,0,1,0,7,4.162573265150911
0,53,0,1,14,32,0,0,0,2,0,9,4.335949935491173
1,66,10,1,13,46,0,1,0,3,1,12,4.556806097125364
1,35,0,1,26,1,1,0,0,2,0,6,3.797020431713803
1,27,1,0,13,6,1,0,0,1,0,5,3.958229168669879
1,21,10,2,13,1,0,0,0,3,0,7,3.4273334938982645
0,123,7,1,19,97,0,15,0,2,0,22,4.4773127064983695
0,47,0,2,18,22,0,0,0,4,0,9,4.075657468606851
0,59,2,1,15,36,1,3,0,3,0,11,4.312385372851768
1,15,1,0,4,4,0,0,0,1,0,5,3.4565647621309536
0,26,0,1,18,1,0,0,0,2,0,6,3.584303179346712
1,82,9,3,36,20,1,3,0,5,0,16,4.714829755785918
0,77,0,1,16,53,1,0,0,2,0,12,4.439925625105311
1,38,3,1,13,17,1,0,0,3,0,9,4.178738290204357
1,39,0,1,32,0,0,0,0,2,0,5,4.055295335502323
0,42,0,1,15,19,1,0,0,2,0,8,4.183867720346297
0,33,0,1,19,6,1,0,0,2,0,7,3.9225895736416696
1,53,0,1,36,1,0,3,0,2,0,10,4.521955417565205
0,44,2,1,16,21,0,1,0,3,0,9,4.3736489479369025
0,23,0,1,15,1,0,0,0,2,0,6,3.6753108689123644
0,17,0,0,10,0,0,0,0,1,0,4,3.4548223999466066
0,26,0,1,18,1,0,0,0,2,0,6,3.8150724101159423
1,129,20,4,54,20,0,1,0,5,3,20,4.754931911420563
1,42,5,1,34,1,0,2,0,2,0,8,4.214128292889141
0,52,2,1,19,26,0,0,0,2,0,8,4.036106305756777
0,27,1,1,19,1,0,0,0,2,0,6,3.930270372293455
0,43,6,1,14,22,0,0,0,3,0,9,4.34186497602557
0,28,0,1,20,1,0,1,0,2,0,7,3.740415529881632
0,97,4,1,21,68,1,1,0,3,0,14,4.493789714291881
1,28,0,1,20,1,0,0,0,2,0,6,3.842370993177109
0,27,0,1,19,1,0,0,0,2,0,6,4.004344446367529
1,35,0,1,19,9,0,0,0,3,0,7,3.840156860408858
0,62,0,1,19,35,1,2,0,2,0,9,4.274535576718848
1,127,24,3,50,19,1,1,0,4,3,18,4.831540342793536
1,29,2,1,22,0,0,0,0,2,0,5,4.03039478823102
1,33,0,1,16,10,0,0,0,2,0,7,3.725916088924304
