status,url_length,digits_len,num_subdomains,domain_length,path_length,has_ip,uses_https,count_hyphens,count_at,count_dots,suspicious_words,digit_ratio,special_char_count,shannon_entropy,relative_entropy
0,32,0,0,12,13,0,0,1,0,1,0,0.0,7,3.9292292966721747,0.9612880775376635
1,46,0,1,25,14,0,0,0,0,2,0,0.0,8,3.9610771086455516,0.9324728579077146
0,37,0,1,16,13,0,1,0,0,2,0,0.0,7,4.003259028248121,0.9424028577650744
1,36,1,1,29,0,0,0,0,0,2,0,0.027777777777777776,5,4.062305474194334,0.9563029174434342
1,52,2,0,18,27,0,0,0,0,2,0,0.038461538461538464,10,4.187535209236147,0.9257163381235601
1,32,8,1,24,1,0,0,0,0,2,0,0.25,6,3.8431390622295662,0.9402260550101943
0,34,0,0,11,15,0,1,0,0,1,0,0.0,5,3.836600340868551,0.9386263532844619
0,27,0,2,19,1,0,0,0,0,3,0,0.0,7,3.6241717609419575,0.9518870279063321
1,92,28,1,22,63,0,0,1,0,2,0,0.30434782608695654,12,4.706166744360949,0.9329498514599569
0,102,6,1,12,83,0,0,7,0,2,0,0.058823529411764705,17,4.821601779987788,0.91224879022087
0,32,0,1,23,1,0,1,0,0,2,0,0.0,6,4.007048827786958,0.9609402630505303
0,29,0,1,20,1,0,1,0,0,2,0,0.0,6,3.853863219997788,0.942849726021951
1,119,1,1,24,60,0,0,1,0,4,0,0.008403361344537815,18,4.541303344505569,0.9254951289457857
0,59,4,1,21,30,0,1,0,0,2,0,0.06779661016949153,9,4.348685533022554,0.948466979247608
0,54,0,0,19,28,0,0,2,0,2,0,0.0,8,4.233795548692774,0.9494025047942157
1,151,41,0,10,134,0,0,1,1,3,0,0.271523178807947,9,5.1182175492354895,0.9266153959987663
0,84,3,1,25,52,0,0,5,0,3,0,0.03571428571428571,14,4.355023566265563,0.9159046484872739
1,55,0,1,10,38,0,0,1,0,3,1,0.0,11,4.381473923348459,0.9321412859393554
0,18,0,0,9,1,0,1,0,0,1,0,0.0,5,3.3082708345352603,0.956304734197469
0,39,0,1,16,15,0,1,0,0,2,0,0.0,6,4.060416641661804,0.9558582694294198
0,28,0,1,19,1,0,1,1,0,2,0,0.0,7,3.8962915290459277,0.9532298348317381
0,32,0,1,16,9,0,0,1,0,3,0,0.0,8,3.8431390622295662,0.9402260550101943
0,16,0,0,9,0,0,0,0,0,1,0,0.0,4,3.5,0.9763003097789544
1,23,0,0,12,4,0,0,0,0,1,0,0.0,6,3.708132064658602,0.9491261590039587
0,29,0,2,21,1,0,0,0,0,3,0,0.0,7,3.9952378913808873,0.958107853258511
1,29,0,1,20,1,0,1,0,0,2,0,0.0,6,3.9262723741395082,0.9605646648370452
0,41,0,1,15,18,0,1,0,0,2,0,0.0,7,4.11073699294092,0.9511349801963915
1,22,4,0,6,8,0,1,0,0,1,0,0.18181818181818182,5,4.027169118440616,0.9657653595802517
1,52,2,1,14,31,0,0,0,0,3,0,0.038461538461538464,10,4.635361295347743,0.9541744399570294
1,38,1,1,20,11,0,0,0,0,3,0,0.02631578947368421,10,3.9182084341546157,0.9396352291226745
0,30,0,2,21,1,0,1,0,0,3,0,0.0,7,4.0062389286533895,0.9607460391416377
1,76,8,3,50,19,0,0,1,0,4,2,0.10526315789473684,10,4.409893507236863,0.9381874402552421
1,430,17,2,13,10,1,0,0,1,24,0,0.03953488372093023,99,4.7147887327312095,0.8743529660947874
0,37,0,1,19,11,0,0,0,0,2,0,0.0,6,3.848249906801916,0.9414764259055016
0,73,5,1,23,43,0,0,5,0,3,0,0.0684931506849315,12,4.385756848415241,0.9695361511613094
1,56,6,1,15,34,0,0,0,0,2,0,0.10714285714285714,11,4.7334448240680045,0.9554415141248951
0,70,0,0,13,49,0,1,7,0,1,0,0.0,14,4.388361818902569,0.9336066585357801
1,70,0,1,20,43,0,0,0,0,3,0,0.0,10,4.425591860285231,0.965240579304442
0,52,4,1,19,26,0,0,1,0,2,0,0.07692307692307693,9,4.38815450741941,0.9449376397748185
0,31,0,1,22,1,0,1,1,0,2,0,0.0,7,3.8403471164197516,0.9600867791049379
1,90,22,1,19,63,0,1,0,0,4,0,0.24444444444444444,11,4.598093131678854,0.9196186263357709
0,45,7,1,15,23,0,0,0,0,3,0,0.15555555555555556,9,4.320096297369663,0.9422315442471267
0,55,2,1,20,28,0,0,0,0,3,0,0.03636363636363636,9,4.490564832439369,0.9444103210425414
1,65,5,1,12,46,0,0,2,0,3,0,0.07692307692307693,12,4.504394113022326,0.9473187559059667
1,41,3,1,33,1,0,0,1,0,2,0,0.07317073170731707,7,4.113172736114331,0.9682775242979569
1,71,12,0,25,26,0,1,1,0,2,0,0.16901408450704225,11,4.739339154893165,0.947867830978633
1,83,6,1,16,46,0,1,0,0,2,0,0.07228915662650602,12,5.006754715499977,0.9345228401300207
1,73,25,0,18,48,0,0,1,0,1,1,0.3424657534246575,8,4.773958169341782,0.9547916338683564
1,44,9,1,30,7,0,0,2,0,2,0,0.20454545454545456,8,4.555467129755084,0.9691576539474608
1,114,6,1,16,14,0,0,1,0,4,0,0.05263157894736842,17,4.845000791663592,0.9232217440603327
1,127,20,3,50,19,0,1,1,0,4,3,0.15748031496062992,18,4.845831026631984,0.9373116680184119
1,99,7,1,20,4,0,0,0,1,4,0,0.0707070707070707,12,5.141475560017514,0.941760226919163
1,56,0,1,20,29,0,0,1,0,2,0,0.0,11,4.518411895854318,0.9502668346619023
0,51,0,1,17,26,0,1,0,0,3,0,0.0,8,4.110685332329446,0.967691967275853
1,51,0,1,14,30,0,0,0,0,5,1,0.0,10,3.861042196724363,0.9446060665699618
0,40,0,1,24,8,0,1,1,0,2,0,0.0,9,4.393942707918268,0.946184060908962
1,33,0,2,14,12,0,0,0,0,3,0,0.0,10,3.861983513035609,0.9261517921065269
0,88,0,1,20,60,0,1,5,0,2,0,0.0,14,4.370833399832015,0.9192296132859696
0,122,6,1,18,96,0,1,0,0,2,0,0.04918032786885246,21,4.121200690389197,0.8874522642332554
0,53,0,1,20,26,0,0,0,0,3,0,0.0,8,4.207102361466449,0.9578320409286045
1,46,4,5,37,1,0,1,1,0,6,0,0.08695652173913043,11,4.338141847079169,0.9461673560900082
1,36,0,1,29,0,0,0,0,0,2,0,0.0,5,4.083274571476652,0.9612392298489442
0,31,0,1,23,1,0,0,0,0,2,1,0.0,6,3.8001821971347023,0.9726871290960232
0,48,0,1,16,24,0,1,2,0,2,0,0.0,11,4.147593366144262,0.9442836131638965
1,101,0,0,6,39,0,1,0,0,2,0,0.0,14,4.264700218300117,0.9183532056161713
0,41,0,1,19,15,0,0,0,0,3,0,0.0,8,4.277926089825634,0.9592985061026393
1,43,4,3,35,1,0,0,0,0,4,1,0.09302325581395349,8,4.303830742923251,0.9514251788152159
0,15,0,0,8,0,0,0,0,0,1,0,0.0,4,3.506890595608518,0.9782223928152852
0,42,3,1,10,25,0,0,3,0,3,0,0.07142857142857142,10,4.246151577840245,0.9521732680223886
0,51,0,0,15,29,0,0,3,0,1,0,0.0,9,3.9530021170359873,0.9479791880354456
1,48,0,1,27,14,0,0,3,0,3,0,0.0,11,3.965199876515855,0.9509043628229175
0,49,0,0,19,23,0,0,0,0,1,1,0.0,8,4.245453029221314,0.9385199253293495
1,25,0,0,13,1,0,1,1,0,1,0,0.0,8,4.213660689688185,0.9749492812415707
0,49,1,1,15,26,0,1,2,0,2,0,0.02040816326530612,10,4.00799441649887,0.9435176103675523
0,48,1,1,25,16,0,0,1,0,3,0,0.020833333333333332,8,4.2665414066556515,0.956745561211097
1,108,4,1,25,29,0,0,1,1,4,0,0.037037037037037035,15,4.68675711922719,0.9291020900292486
1,39,0,0,20,12,0,0,0,0,2,0,0.0,7,4.028490680178816,0.9660822865604115
0,80,0,2,20,53,0,0,3,0,4,0,0.0,13,4.4995817701478344,0.9463066724713318
0,36,0,1,17,12,0,0,1,0,2,0,0.0,7,3.9749375012019263,0.953239566617399
0,28,0,1,19,1,0,1,1,0,2,0,0.0,7,3.91379956460568,0.9575131852228567
1,33,2,1,14,11,0,1,0,0,2,0,0.06060606060606061,6,4.513794876803093,0.9719928206954358
0,23,0,2,14,1,0,1,0,0,3,0,0.0,7,3.696624999159019,0.9461808332473283
0,77,0,1,18,51,0,1,5,0,2,0,0.0,12,4.311779809188084,0.9531824369984909
1,342,142,2,19,315,0,1,6,1,5,0,0.4152046783625731,37,5.2988521944101725,0.9045526434478944
1,38,5,1,29,1,0,1,1,0,2,0,0.13157894736842105,7,4.293594289588575,0.9491622600281813
0,73,0,1,22,44,0,0,5,0,2,0,0.0,12,4.2945545745150735,0.9366607848678359
0,33,0,1,15,10,0,1,0,0,2,0,0.0,7,4.12728313431329,0.9549633968218192
1,67,0,1,17,43,0,0,1,0,3,0,0.0,12,4.139601691100084,0.9282801139498251
0,39,2,1,18,13,0,1,0,0,2,0,0.05128205128205128,7,4.201692923824033,0.9566004729152451
0,24,0,1,15,1,0,1,0,0,2,0,0.0,6,3.8035088547976788,0.9508772136994197
0,26,0,1,17,1,0,1,0,0,2,0,0.0,6,3.8441065448145375,0.9610266362036344
0,39,5,0,7,24,0,1,0,0,2,0,0.1282051282051282,9,4.1604200911461655,0.9329485115902499
1,62,22,2,22,33,0,0,1,0,3,0,0.3548387096774194,8,4.758406544460784,0.9604800145856954
1,41,0,0,13,21,0,0,1,0,2,1,0.0,8,4.241102309232295,0.9510410007202399
1,40,0,1,31,1,0,1,0,0,2,0,0.0,6,4.043942707918268,0.9519801585879801
0,51,0,1,26,18,0,0,2,0,3,0,0.0,9,4.18520041193298,0.9528456186313716
0,59,4,1,12,39,0,1,3,0,2,0,0.06779661016949153,12,4.427584211531937,0.9534283644013364
0,50,0,1,20,22,0,1,0,0,3,0,0.0,9,3.921593511005629,0.9404470127518386
1,52,3,1,25,20,0,0,1,0,2,0,0.057692307692307696,8,4.079965439170122,0.9288867462108347
1,43,0,0,15,21,0,0,1,0,2,0,0.0,8,3.9987280573706054,0.9589448385732375
1,94,12,1,42,45,0,0,4,0,3,0,0.1276595744680851,13,4.325034001454413,0.9561124714260246
0,60,0,1,15,38,0,0,0,0,4,0,0.0,9,4.025756904931549,0.9476990584681767
0,18,0,0,11,0,0,0,0,0,1,0,0.0,4,3.6143694458867563,0.9767405284749313
1,204,27,1,27,23,0,1,1,0,2,1,0.1323529411764706,15,5.6343465785242275,0.9500246356955584
1,94,15,2,24,43,0,1,0,1,7,0,0.1595744680851064,14,4.688460097983368,0.9294396883048557
1,41,0,3,33,1,0,0,1,0,4,0,0.0,9,4.043544614839371,0.9518864439288581
1,19,3,1,11,1,0,0,0,0,2,0,0.15789473684210525,6,3.576617644908665,0.9665385514523044
1,35,1,0,22,6,0,0,1,0,2,0,0.02857142857142857,7,3.9760107890421,0.9534969544216886
1,63,0,0,26,30,0,0,0,0,3,0,0.0,10,4.163965146396304,0.9337434683366036
1,53,4,1,21,25,0,0,0,0,2,0,0.07547169811320754,9,4.284458313732673,0.947142617997266
1,75,0,3,44,24,0,0,3,0,4,2,0.0,15,4.177328825158426,0.936740190767837
1,35,4,1,27,0,0,1,0,0,2,0,0.11428571428571428,5,4.272140159802108,0.9726392126503863
1,210,14,1,14,4,0,1,1,0,4,0,0.06666666666666667,37,5.335964154987066,0.9229600681141402
0,44,0,0,13,23,0,1,2,0,1,0,0.0,7,4.0360409258397825,0.9501200086552238
1,150,73,3,40,9,0,0,0,0,5,0,0.4866666666666667,12,4.430847778121618,0.8709346714427607
1,39,0,1,22,10,0,0,1,0,3,0,0.0,9,4.028490680178816,0.9660822865604115
1,64,0,1,15,42,0,0,1,0,2,2,0.0,13,4.163702445739504,0.9336845593366982
1,106,17,2,20,39,0,1,4,0,4,0,0.16037735849056603,18,5.034155776226639,0.9459270562228792
1,34,0,1,20,6,0,1,0,0,2,0,0.0,7,4.0286393118385755,0.9483776027460403
0,65,0,1,16,41,0,1,0,0,2,0,0.0,12,4.322314067428179,0.9427152494155261
1,60,2,1,14,39,0,0,1,0,3,0,0.03333333333333333,13,4.309416071742446,0.9063129400604467
1,25,0,0,14,4,0,0,0,0,1,0,0.0,6,3.813660689688185,0.9534151724220462
0,39,5,1,21,11,0,0,0,0,2,0,0.1282051282051282,7,4.291687154704211,0.9623843399163176
0,38,0,1,15,16,0,0,1,0,3,0,0.0,9,4.201231789474708,0.9564954863432515
1,129,3,0,8,27,0,1,1,0,2,0,0.023255813953488372,23,5.238177620161939,0.9594730708376223
0,52,0,1,15,29,0,1,2,0,2,0,0.0,10,4.159802527016963,0.9624876757986358
1,30,11,2,14,9,1,0,0,0,3,0,0.36666666666666664,8,3.8980685120588383,0.9536645746891815
0,33,0,1,24,1,0,1,0,0,2,0,0.0,6,3.861983513035609,0.9654958782589023
0,118,9,1,27,84,0,0,6,0,3,0,0.07627118644067797,15,4.554342919025287,0.8952090779116083
0,27,0,0,20,0,0,0,1,0,1,0,0.0,5,3.8380398168981564,0.938978521875471
0,78,13,1,16,55,0,0,0,0,3,0,0.16666666666666666,16,4.645817969512606,0.9377541135728255
1,35,1,1,27,1,0,0,1,0,2,0,0.02857142857142857,7,4.185867302411998,0.9685184969559493
1,32,0,0,18,7,0,0,1,0,1,0,0.0,7,3.902518266288633,0.9358725312658651
1,64,4,3,39,18,0,0,3,0,5,0,0.0625,13,4.320967001462483,0.9304695978692861
1,38,3,1,29,1,0,1,1,0,2,0,0.07894736842105263,7,4.293594289588574,0.962812003136086
0,24,0,2,15,1,0,1,0,0,3,0,0.0,7,3.709147917027245,0.949386174569735
0,68,0,1,15,46,0,0,0,0,3,0,0.0,9,4.287409488398752,0.9351024109192599
1,126,21,3,50,20,0,1,1,0,4,3,0.16666666666666666,19,4.66956877015949,0.933913754031898
0,41,0,1,16,17,0,1,0,0,2,0,0.0,8,4.161953223919209,0.9475529255547716
0,48,0,1,16,24,0,1,0,0,2,0,0.0,9,4.478308011580246,0.9527423560601064
0,29,0,1,21,1,0,0,0,0,2,0,0.0,6,3.9262723741395074,0.960564664837045
0,24,0,1,15,1,0,1,0,0,2,0,0.0,6,3.740601562950723,0.9574369876533758
0,50,1,1,17,25,0,1,0,0,3,0,0.02,10,4.233269689515107,0.9492845841212159
1,126,15,3,50,19,0,0,1,0,4,3,0.11904761904761904,18,4.7008103025168735,0.9318879911617063
0,39,0,1,11,20,0,1,0,0,2,0,0.0,9,4.162980744225907,0.9477868613585386
1,102,20,0,15,80,0,0,1,0,1,0,0.19607843137254902,12,4.585580221161115,0.9255951790903146
0,31,2,1,23,1,0,0,0,0,2,0,0.06451612903225806,6,4.147114052043201,0.9595518391314843
1,86,24,2,22,34,0,0,1,0,3,0,0.27906976744186046,12,5.102851527630876,0.9524595418266287
0,78,8,1,16,54,0,1,4,0,2,0,0.10256410256410256,15,4.658557949765055,0.9493910367462214
0,29,0,2,20,1,0,1,0,0,3,0,0.0,7,3.8573068568981284,0.9643267142245321
0,33,7,1,12,6,0,0,0,0,2,0,0.21212121212121213,7,4.309101316131471,0.9662893580703086
1,27,0,0,12,8,0,0,1,0,1,0,0.0,7,3.8659986132745803,0.9664996533186451
0,24,0,1,15,1,0,1,0,0,2,0,0.0,6,3.6572682296173893,0.9605798000153073
0,39,0,1,20,11,0,1,0,0,2,0,0.0,7,3.9233659245349726,0.9408720596120893
0,28,0,1,21,0,0,0,1,0,2,0,0.0,6,4.208966082694624,0.9738630514639132
1,87,11,1,24,2,0,0,0,0,2,0,0.12643678160919541,9,5.089511243413619,0.9499695456108648
0,43,0,1,18,18,0,0,0,0,2,0,0.0,8,4.106984383697434,0.9350381560308969
0,27,0,1,19,1,0,0,0,0,2,0,0.0,6,3.810081020521731,0.9525202551304327
0,101,8,1,17,77,0,0,9,0,2,0,0.07920792079207921,19,4.51960578309583,0.9210732733965388
0,60,0,1,28,25,0,0,3,0,3,0,0.0,10,4.264468304875447,0.9562806809399116
0,38,0,1,13,10,0,0,0,0,3,0,0.0,9,4.306494947369445,0.9657048959717905
1,19,0,0,10,1,0,1,0,0,1,0,0.0,5,3.7474130395316396,0.9591804397450654
0,137,36,1,15,114,0,1,0,0,3,0,0.26277372262773724,43,3.922508200422574,0.7710146143216929
1,263,34,12,179,47,0,0,1,0,14,2,0.12927756653992395,29,5.345567892628931,0.9204823821470417
1,22,4,0,6,8,0,1,0,0,1,0,0.18181818181818182,5,3.936260027531526,0.9630081496538911
1,89,1,0,21,36,0,0,0,0,3,2,0.011235955056179775,15,4.456589015909593,0.9270355711539853
0,28,0,1,19,1,0,1,0,0,2,0,0.0,6,3.9407598325400897,0.9641090293886626
0,49,1,1,26,16,0,0,0,0,3,0,0.02040816326530612,7,4.050848813848051,0.937278160328492
1,45,3,3,36,1,0,1,2,0,4,0,0.06666666666666667,10,4.266977196801592,0.9432781596122816
1,30,0,1,22,1,0,0,0,0,2,0,0.0,6,3.7898980954642876,0.9474745238660719
1,54,0,0,10,37,0,0,1,0,2,0,0.0,9,4.120835077024071,0.9240718166418047
0,29,0,1,22,0,0,0,0,0,2,0,0.0,5,3.909368063943885,0.9564290161835513
1,86,0,0,16,40,0,0,1,1,3,0,0.0,14,4.421954042031814,0.9198309909972626
1,26,2,1,18,1,0,0,0,0,2,0,0.07692307692307693,6,3.9500637564362093,0.966385239413675
0,83,9,1,20,55,0,1,0,0,2,0,0.10843373493975904,12,4.724041618371038,0.9364933640379078
1,49,0,0,28,13,0,1,1,0,2,0,0.0,7,4.111674323875523,0.9679247847010438
0,33,7,1,12,6,0,0,0,0,2,0,0.21212121212121213,7,4.369707376737533,0.965988179046941
0,40,0,1,18,15,0,0,0,0,2,0,0.0,7,4.103055907333275,0.9493577443333674
0,56,0,1,18,31,0,0,3,0,2,0,0.0,11,4.307117985122874,0.9658446083402514
0,27,0,1,18,1,0,1,0,0,2,0,0.0,6,3.676390632579627,0.9410016847443894
0,70,0,1,33,30,0,0,4,0,3,0,0.0,11,4.328035839952227,0.9705353081016136
1,128,7,9,120,1,0,0,0,0,10,0,0.0546875,14,4.568664968892781,0.9221808508706456
1,25,3,0,6,12,0,0,0,0,1,0,0.12,5,4.213660689688184,0.9749492812415704
0,33,0,1,16,9,0,1,0,0,2,0,0.0,7,4.051821770808045,0.95383496022121
0,52,0,1,16,28,0,1,1,0,2,0,0.0,8,4.1738228338092815,0.965731669332194
0,31,0,1,22,1,0,1,0,0,2,0,0.0,6,3.7356660681024443,0.9561737081405512
1,41,4,1,32,1,0,1,0,0,2,0,0.0975609756097561,6,4.226709858847345,0.9478135826060571
0,33,0,1,24,1,0,1,0,0,2,0,0.0,6,4.104407755459851,0.9662141697264063
1,32,0,0,23,1,0,1,1,0,1,0,0.0,6,4.108458593344349,0.9506078081688731
0,66,2,1,30,22,0,0,1,0,3,0,0.030303030303030304,11,4.354651036439185,0.937723059992181
0,85,8,1,14,63,0,1,7,0,2,0,0.09411764705882353,17,4.471707885254594,0.9301805166781094
0,52,0,1,20,24,0,1,0,0,2,0,0.0,8,4.2892074491938965,0.9354945538855026
0,109,6,1,19,82,0,1,8,0,3,0,0.05504587155963303,16,4.5567271604833275,0.9379878523719228
0,84,0,0,20,57,0,0,6,0,1,0,0.0,12,4.145610244817931,0.9296274950135319
1,110,14,1,16,17,0,1,1,0,2,0,0.12727272727272726,11,5.290184432621492,0.9523989216634301
1,171,52,0,25,72,0,0,1,0,2,1,0.30409356725146197,17,4.967635066856988,0.9465898784103679
0,17,0,0,9,1,0,0,0,0,1,0,0.0,5,3.2483650467509038,0.9389880780561477
0,19,0,0,12,0,0,0,0,0,1,0,0.0,4,3.2608281712244547,0.9425907289674729
1,98,28,2,14,77,1,0,0,0,4,0,0.2857142857142857,16,4.642785743623148,0.9461767392528102
1,32,0,1,24,1,0,0,0,0,2,0,0.0,6,3.819548827786958,0.934454691365114
0,28,0,2,20,0,0,1,0,0,3,0,0.0,6,3.9677201004744993,0.9707048735544686
1,64,2,1,31,18,0,0,0,0,3,0,0.03125,11,4.386587797403417,0.9332292424629167
0,40,0,1,16,16,0,1,0,0,2,0,0.0,7,3.993942707918268,0.9577972521176821
1,132,15,1,32,92,0,1,1,0,2,0,0.11363636363636363,15,5.363010150437366,0.931905297613762
1,124,6,1,24,83,0,1,2,0,2,0,0.04838709677419355,20,5.159250716031775,0.9340441470696744
