url_length,digits_len,num_subdomains,domain_length,path_length,uses_https,count_hyphens,count_at,count_dots,suspicious_words,special_char_count,shannon_entropy,status
74,4,1,14,10,1,1,0,4,0,15,4.616029000787937,0
30,0,1,21,1,1,0,0,2,0,6,4.031401845392171,1
28,1,1,19,1,1,0,0,2,0,6,3.91379956460568,1
23,1,0,7,8,1,0,0,1,0,5,3.725104217943958,1
105,28,1,15,83,0,0,0,2,0,9,5.359835999489314,1
52,3,1,20,1,1,1,1,4,0,12,4.558438218424666,1
37,0,1,28,1,1,0,0,2,0,6,4.262979041070738,0
388,65,1,33,24,1,9,0,3,2,46,5.760599849163729,1
57,0,1,16,33,1,0,0,2,0,10,4.279743961305428,0
125,19,3,50,20,0,1,0,4,3,19,4.770527665907742,1
49,0,1,21,20,1,0,0,2,0,8,4.204636702690701,0
59,0,1,27,24,1,1,0,3,1,10,4.249121075718702,1
50,2,0,10,8,0,0,1,2,0,9,4.536174630069641,1
32,0,1,24,1,0,0,0,2,0,6,4.007048827786958,1
106,0,0,17,61,0,1,1,3,0,20,4.523081253667612,1
37,1,2,29,1,0,1,0,3,0,8,4.15487093296263,1
13,0,0,6,0,0,0,0,1,0,4,3.3927474104487847,0
52,0,1,23,21,1,1,0,2,0,8,4.188339901158579,0
39,0,1,27,5,0,0,0,2,0,7,4.150410872541981,1
36,0,1,27,1,1,0,0,2,0,6,4.141604167868593,0
35,0,1,26,1,1,2,0,2,0,8,4.085588016574085,0
55,0,1,18,29,1,2,0,2,0,11,4.103529260115678,0
35,0,1,18,10,0,0,0,2,0,7,4.071581588126283,1
23,0,1,16,0,0,0,0,2,0,5,3.555533151426996,0
50,0,1,12,31,0,3,0,2,0,12,4.210881379939833,0
37,4,1,12,18,0,0,0,3,0,8,4.188522622093347,0
54,0,1,17,30,0,1,0,3,0,9,4.2726819462874,0
19,0,1,12,0,0,0,0,2,0,5,3.616348566075165,0
121,18,4,46,20,0,0,0,5,3,19,4.698505385603668,1
52,0,1,16,29,0,3,0,3,0,10,4.390074997229214,0
120,15,3,42,20,1,0,0,4,3,18,4.714817004708501,1
69,4,0,21,41,0,1,0,1,0,11,4.12405167686155,1
43,0,3,29,7,0,0,0,4,0,8,4.0078061858720755,1
55,0,1,15,33,0,0,0,3,0,9,4.102943988457851,0
238,88,0,15,49,1,0,0,2,2,20,4.947425613091077,1
76,11,3,50,19,0,1,0,4,2,10,4.576406955027042,1
41,0,1,13,5,1,0,0,2,0,9,3.927571748932946,1
52,1,1,14,11,1,0,0,2,0,8,4.657385276650178,1
67,0,1,23,37,0,1,0,3,0,11,4.1103754818458516,1
79,21,2,28,43,1,1,0,4,0,15,4.665804920123208,1
66,0,1,21,18,0,1,1,4,0,13,4.412718597059803,1
39,0,2,26,6,0,0,0,3,0,7,3.884653744936846,1
40,6,1,32,1,0,0,0,2,0,6,4.134183719779188,1
62,1,0,13,34,0,1,0,2,0,13,4.365430286773682,1
128,20,3,50,20,1,1,0,4,3,19,4.685312377485003,1
126,28,3,50,20,1,1,0,4,3,19,4.826637143341985,1
34,0,1,15,11,1,0,0,3,0,7,4.043057694064252,1
34,0,1,21,6,0,0,0,3,0,7,4.035273502696889,1
67,4,3,39,21,0,2,0,5,0,11,4.473503751588551,1
73,0,1,25,12,0,0,1,3,1,13,4.372547636344432,1
32,0,1,16,9,0,0,0,3,0,7,3.882048827786958,1
177,43,2,23,146,1,1,0,3,0,13,5.583875216971529,1
75,0,1,23,44,1,0,0,4,0,14,4.273027984743856,1
33,0,1,12,14,0,0,0,2,0,8,4.086526226193702,1
58,5,2,17,34,0,2,0,4,0,14,4.579001521551985,0
24,0,1,16,1,0,0,0,2,0,6,3.6572682296173897,0
23,0,1,15,1,0,0,0,2,0,6,3.849223912390625,0
43,0,0,12,23,1,0,0,3,0,8,3.960693824268287,1
35,0,1,11,17,0,2,0,2,0,8,4.0360069453309535,0
185,47,1,17,56,0,1,0,2,2,21,5.007408417335098,1
30,0,1,22,1,0,0,0,2,0,6,3.8729055953200566,0
49,0,1,24,18,0,0,0,3,0,7,4.127080191266614,0
57,0,1,35,15,0,0,0,3,0,7,4.102272419180632,0
37,0,1,17,12,1,0,0,2,0,7,4.0671651897778585,0
34,0,1,16,10,1,0,0,2,0,7,3.925410635240723,0
122,6,1,17,98,0,2,0,16,0,23,4.652970358470491,1
56,0,1,11,38,0,1,0,2,0,12,4.101125010956985,1
65,11,0,9,49,0,3,0,2,0,13,4.459788868177735,1
20,0,0,11,1,1,0,0,1,0,5,3.746439344671015,0
55,3,1,36,11,1,2,0,3,1,9,4.27419875007773,1
26,0,1,18,0,1,0,0,2,0,5,3.873140679513132,1
71,4,1,14,49,1,3,0,2,0,13,4.21312802251359,0
43,0,1,16,19,1,0,0,2,0,8,4.060472755790457,1
49,0,2,16,25,1,0,0,6,0,10,4.150452579587567,1
64,9,1,17,39,1,5,0,2,0,15,4.415623587245974,0
58,1,0,17,5,0,0,1,2,0,10,4.3450739957852536,1
46,0,2,21,17,1,0,0,3,0,8,4.197049999347146,1
44,0,0,26,10,1,0,0,2,0,6,4.0411673460484785,1
58,5,1,24,6,0,0,0,2,0,11,4.674719090246697,1
28,0,1,19,1,1,1,0,2,0,7,3.985228136034251,0
204,26,1,27,23,1,2,0,2,1,14,5.743188929240792,1
93,26,0,22,64,0,2,0,1,0,13,4.787019397797361,1
36,0,1,19,9,1,0,0,2,0,6,4.037844793048882,1
21,0,0,14,0,0,0,0,1,0,4,3.5585186130489057,0
22,0,1,13,1,1,0,0,2,0,6,3.447401504705915,0
33,0,1,24,1,1,0,0,2,0,6,3.9831956342477306,0
33,0,1,21,4,1,1,0,2,0,8,3.922589573641669,0
57,0,1,16,33,1,0,0,2,0,8,4.03894539331332,1
45,22,1,29,9,0,0,0,2,0,7,4.322315530038771,1
79,0,1,19,53,0,5,0,2,0,13,4.149566897867374,0
100,23,1,18,75,0,1,0,3,1,13,4.784240136070536,1
78,6,1,16,55,0,0,0,3,0,14,4.493252142206324,0
119,14,1,20,92,0,8,0,2,0,16,4.518767724976381,0
40,4,0,11,22,0,0,0,2,0,8,4.393942707918268,1
20,0,1,12,1,0,0,0,2,0,6,3.2709505944546686,0
18,0,0,11,0,0,0,0,1,0,4,3.68354236243323,0
404,50,0,11,73,0,1,0,2,1,15,5.140668944736684,1
29,0,1,21,1,0,0,0,2,0,6,3.8404025467025056,0
62,0,1,16,39,0,0,0,3,1,11,4.208150449281535,1
45,0,0,9,29,0,0,0,2,0,9,4.188982196705438,1
33,0,1,25,1,0,0,0,2,0,6,3.98319563424773,0
57,5,1,16,33,1,0,0,2,0,11,4.582289794600805,0
57,0,1,19,31,0,2,0,3,0,11,4.1065105756751255,0
53,0,2,41,5,0,0,0,3,1,7,4.178128652913809,1
21,2,0,14,0,0,0,0,1,0,4,4.011365041826378,1
128,16,3,50,20,1,1,0,4,3,19,4.68575500910096,1
415,51,1,16,392,0,1,0,2,0,8,5.49405351607532,1
44,0,1,17,19,1,0,0,3,0,8,4.226143834398879,0
74,5,1,22,32,0,0,0,3,1,11,4.530333860378533,0
26,0,1,17,1,1,0,0,2,0,6,3.671405583442497,0
31,0,1,22,1,1,0,0,2,0,6,3.889049535914169,0
30,1,1,23,0,0,0,0,2,0,5,3.9614063297218425,1
127,26,3,50,19,1,1,0,4,3,18,4.856218006309019,1
39,0,1,30,1,1,1,0,2,0,7,4.23105823222728,1
46,1,0,22,16,1,1,0,1,0,8,4.14564721724714,1
52,0,1,14,31,0,0,0,2,0,9,3.947835335260951,0
39,0,1,13,19,0,0,0,2,0,8,4.201692923824033,0
39,0,0,24,7,1,0,0,1,0,6,4.201692923824033,1
51,0,1,16,27,1,0,0,2,0,10,4.203918420607161,0
46,0,1,18,20,1,1,0,2,0,8,4.137161140604462,0
69,0,0,11,51,0,5,0,1,0,11,4.231378899203216,0
49,0,0,10,32,0,0,0,3,1,9,4.070857997344911,1
73,0,1,25,41,0,1,0,3,0,10,4.0793174866422754,0
35,0,1,27,1,0,0,0,2,0,6,3.971302302288371,0
54,0,1,19,28,0,2,0,3,0,10,4.233795548692772,0
59,0,1,16,23,1,1,0,2,0,12,4.509868160214534,1
31,0,0,12,11,1,0,0,2,0,7,3.7929059878062295,1
50,6,1,23,19,1,0,0,3,0,9,4.216691261048899,1
79,6,1,22,50,0,3,0,3,0,13,4.442368408042155,0
29,1,1,14,8,0,0,0,2,0,6,4.142295219190902,1
52,0,0,29,16,0,0,0,2,0,7,4.089889603490045,1
53,0,2,21,24,1,1,0,3,0,9,4.228223408235576,0
242,26,1,17,217,1,3,0,2,4,29,4.669895860214375,1
43,0,1,27,7,0,1,0,2,0,9,4.257319115016275,1
38,0,0,13,5,0,0,0,1,0,9,4.106241250673739,1
29,0,0,17,5,0,0,0,1,0,5,3.83127625337525,1
32,3,1,23,1,1,0,0,2,0,6,3.952819531114783,1
114,0,1,20,87,0,10,0,2,0,18,4.192216715020466,0
47,5,1,12,28,0,0,0,3,0,10,4.323220703147271,0
45,0,1,18,19,1,0,0,2,0,9,3.983535252309071,0
59,0,2,23,29,0,0,0,4,0,10,4.189586855939285,0
41,0,0,19,15,0,0,0,1,1,7,4.071477469174168,1
32,4,1,13,12,0,2,0,2,0,9,4.077819531114783,1
123,0,0,14,41,0,0,0,2,0,21,4.829948957451986,1
96,27,1,14,75,0,0,0,3,0,14,4.726017287781372,1
26,2,1,14,5,0,0,0,2,0,7,3.690260390968384,1
44,3,3,25,11,1,1,0,4,0,9,4.107523812833571,1
113,18,1,24,31,0,0,0,3,0,13,5.253516851999272,1
76,0,1,16,14,0,1,0,3,0,14,4.322243764812241,1
78,7,0,17,54,0,7,0,1,0,15,4.327078699661318,0
47,0,2,17,23,0,1,0,3,0,10,4.230358405772797,1
53,1,1,24,22,0,0,0,2,0,8,4.341430955405388,1
87,6,1,24,55,1,5,0,2,0,12,4.632333800760548,0
26,0,1,17,1,1,0,0,2,0,6,3.6612262562697886,0
37,1,1,29,1,0,0,0,2,1,6,4.175273297885967,1
18,0,1,9,1,1,0,0,2,0,6,3.30827083453526,0
34,0,1,12,15,0,0,0,3,1,8,4.013070929103844,1
47,4,1,39,1,0,2,0,2,0,8,4.4265133195786195,1
48,0,1,19,22,0,0,0,3,0,8,4.256328385912463,1
29,0,1,20,1,1,1,0,2,0,7,3.926272374139508,0
51,0,1,16,27,1,0,0,2,0,9,4.231563705591809,0
22,0,1,14,1,0,0,0,2,0,6,3.503997527334848,0
40,0,1,32,1,0,0,0,2,0,6,4.175070520364182,0
128,23,0,15,106,0,0,0,1,3,10,5.408890554999303,1
28,0,1,20,1,0,0,0,2,0,6,4.039148671903071,0
72,6,3,38,27,0,2,1,5,0,13,4.63515425888651,1
67,0,1,28,32,0,0,0,3,0,9,4.245381176735653,0
30,0,1,16,7,0,0,0,2,0,7,3.8980685120588383,0
128,0,1,21,61,0,1,1,5,0,19,4.537759425654687,1
18,0,1,11,0,0,0,0,2,0,5,3.461320140211008,0
116,0,1,19,89,1,0,0,2,0,9,4.40045135575353,0
52,0,1,20,25,0,0,0,3,0,9,4.058934978981644,0
38,0,1,30,1,0,0,0,2,0,6,4.095968631579971,1
49,0,1,20,21,1,0,0,2,0,7,3.984622028177918,0
40,0,0,15,17,1,0,0,1,0,7,3.837326145256008,0
85,33,2,18,60,0,0,0,4,0,9,4.615232189502197,1
31,0,0,14,10,0,0,0,1,0,7,3.8371256496420134,1
53,0,1,18,27,1,1,0,2,0,8,4.251716096874,0
106,4,1,14,85,0,1,0,3,0,15,4.945383044771758,0
16,0,0,9,0,0,0,0,1,0,4,3.327819531114783,0
45,0,1,14,16,0,1,0,3,0,11,4.140875595896981,0
49,0,1,18,24,0,1,0,2,0,8,4.190741731649548,0
41,0,1,17,16,1,0,0,2,0,7,3.966831272699697,0
79,7,2,16,20,0,0,0,3,0,16,4.643873356441551,0
41,0,2,33,1,0,2,0,3,0,9,4.247557492317426,1
65,6,1,15,43,0,0,0,3,0,11,4.479588198605471,0
106,18,3,45,54,0,3,0,4,0,14,4.78810913474292,1
52,2,0,18,6,0,0,0,1,0,9,4.541503900708585,1
28,0,1,19,1,1,0,0,2,0,6,3.6995138503199656,0
111,7,1,11,93,0,10,0,3,0,20,4.489355146527502,0
128,22,3,50,20,1,1,0,4,3,19,4.843019564823939,1
33,5,1,14,11,1,0,0,2,0,6,4.392582755590971,1
34,0,1,18,8,1,1,0,2,0,8,4.124083797069061,0
32,0,1,16,8,1,0,0,2,0,6,4.241729296672174,0
42,4,0,33,1,1,4,0,1,0,9,4.460902768522481,1
45,9,2,31,7,0,1,0,3,0,8,4.466542752164838,1
180,9,1,41,1,1,1,0,3,2,26,5.092121548103032,1
30,0,1,13,9,1,1,0,2,0,7,3.989898095464287,0
35,0,1,26,1,1,0,0,2,0,6,3.829741775363136,0
123,16,4,46,19,1,0,0,5,3,18,4.782071308926541,1
31,7,0,11,13,0,0,0,2,0,7,4.284683810317086,1
144,9,1,32,105,0,2,0,3,0,9,5.5109791682125255,1
45,0,1,17,21,0,0,0,3,0,9,4.222532752357147,0
66,3,1,19,39,1,1,0,3,0,11,4.468435506201716,1
109,7,1,21,3,1,0,1,4,0,12,5.141838917120721,1
34,0,1,25,1,1,0,0,2,0,6,3.836600340868551,0
37,0,2,28,1,1,0,0,3,0,7,3.884600662692359,0
66,4,1,19,39,1,0,0,3,1,10,4.176451505492632,1
50,2,1,15,27,1,3,0,2,0,11,4.216174630069641,0
45,0,1,18,19,1,0,0,2,0,7,4.197082818407667,0
28,0,1,20,1,0,0,0,2,0,6,3.72290749432188,0
18,0,0,9,1,1,0,0,1,0,5,3.68354236243323,0
24,0,0,8,9,0,0,0,2,0,6,3.772055208874201,1
74,27,1,28,39,0,0,0,2,0,8,4.738263886701677,1
46,2,1,21,18,0,0,0,2,0,8,4.127065630893371,1
79,0,1,21,51,0,5,0,3,0,13,4.161836090653271,0
66,6,1,19,40,0,1,0,3,0,13,4.640287536584864,0
54,2,0,11,36,0,0,0,2,1,9,4.078549541836061,1
126,17,3,50,19,0,1,0,4,3,18,4.745387410689394,1
53,0,1,20,25,1,6,0,3,0,23,4.273983661620526,1
82,21,1,16,26,0,1,0,3,0,10,4.773208748997429,1
44,2,1,27,10,0,0,0,2,0,7,4.2715983798534225,0
29,2,1,22,0,0,0,0,2,1,5,4.1162646156680225,0
48,0,1,26,15,0,0,0,2,0,8,4.15726822961739,0
124,28,4,46,20,1,0,0,5,3,19,4.846700295503839,1
125,18,3,50,20,0,1,0,4,3,19,4.790427514171856,1
40,0,0,13,20,0,0,0,2,0,8,3.834829508503261,1
51,2,0,10,33,1,1,0,1,0,9,4.444401999165797,0
68,0,1,22,39,0,0,0,3,0,12,4.504393128136449,0
38,0,2,19,12,0,0,0,3,0,7,4.0761031709967215,0
41,0,2,18,16,0,0,0,4,0,9,4.161953223919209,1
68,13,3,42,19,0,0,0,4,2,9,4.629249378072818,1
47,0,1,29,10,1,0,0,2,0,8,4.163438256246698,1
109,11,1,15,87,0,11,0,2,0,17,4.576798968879437,0
27,0,1,16,4,0,1,0,2,1,8,3.9121138909722304,0
126,32,1,31,26,0,0,0,3,0,15,4.9493971905260095,1
54,11,3,46,1,0,0,0,4,0,8,4.564801159450685,1
37,0,1,16,13,1,0,0,2,0,7,4.013111135723804,0
39,3,2,31,1,0,1,0,3,0,8,4.192346052629153,1
51,0,1,27,7,0,1,0,2,0,12,4.398038705506969,1
22,2,0,7,7,1,0,0,1,0,5,3.845350936622435,1
51,0,1,43,1,0,0,0,2,0,6,3.3449111379668364,1
62,0,1,31,24,0,2,0,2,0,9,4.044460375001262,0
128,19,3,50,20,1,1,0,4,3,19,4.778975004350157,1
26,0,1,18,1,0,0,0,2,0,6,3.6133373140453062,0
35,0,1,28,0,0,0,0,2,0,5,4.185867302411998,0
69,3,0,16,5,1,0,1,4,0,12,4.654846739041963,1
73,0,0,14,52,0,2,0,3,0,13,4.310721436591319,1
46,0,1,31,7,1,0,0,2,0,6,4.093682879734897,1
48,1,1,35,1,1,3,0,2,0,11,4.305255793112395,1
45,0,1,13,25,0,0,0,2,0,10,4.027049830532039,1
46,0,1,29,9,1,0,0,3,0,7,3.9988018367653257,1
30,0,2,22,1,0,0,0,3,0,7,3.822579761842491,0
52,0,1,20,25,0,0,0,3,1,9,4.250745910732358,1
43,0,1,22,14,0,1,0,2,0,7,4.184774568998512,0
49,6,0,10,32,0,3,0,1,0,10,4.678499579198325,0
45,1,1,20,17,1,0,0,2,0,9,4.216651363324027,0
27,0,1,18,1,1,0,0,2,0,6,3.856196298219381,0
64,0,1,15,42,0,0,0,2,0,14,4.280388867995137,0
60,4,3,42,11,0,3,0,4,0,11,4.340002787802771,1
32,0,1,17,8,0,0,0,2,0,7,3.788909765557392,0
23,0,0,16,0,0,0,0,1,0,4,3.675310868912365,0
29,0,1,21,0,1,1,0,2,0,6,3.909368063943885,0
45,8,1,14,11,1,0,0,2,0,7,4.563532262755957,1
88,7,2,19,62,0,5,0,4,0,16,4.645534926105689,0
91,15,1,18,66,0,1,0,2,1,11,4.646079224294728,1
24,0,1,15,1,1,0,0,2,0,6,3.772055208874201,0
113,32,13,87,19,0,0,0,14,0,19,4.593144149983432,1
59,1,3,42,10,0,2,0,4,0,10,4.219708575828709,1
132,5,1,16,24,1,0,0,3,0,13,5.3425573091203065,1
51,0,0,15,29,0,3,0,1,0,9,3.9530021170359873,0
53,0,1,15,31,0,4,0,2,0,10,4.260965625094247,0
43,10,3,28,8,0,0,0,4,0,9,4.303830742923251,1
105,6,1,18,79,1,7,0,3,0,16,4.617006561792478,0
44,0,1,25,12,0,0,0,2,0,7,4.112063152384017,0
36,0,3,25,3,1,0,0,4,0,8,3.6943856825877632,1
19,0,1,11,1,0,0,0,2,0,6,3.3918926446809317,0
18,0,0,11,0,0,1,0,1,0,5,3.68354236243323,0
120,21,3,42,20,1,0,0,4,3,18,4.719045852343943,1
218,36,2,12,24,0,0,0,4,3,41,4.995816844221752,1
68,22,3,28,33,0,0,0,5,1,12,4.627165415571696,1
66,0,1,19,39,1,2,0,2,0,10,4.2334389152270635,0
266,36,1,28,18,0,1,0,3,0,14,5.893282058285104,1
42,0,1,25,10,0,0,0,2,0,6,4.129947184477478,0
27,1,1,18,1,1,0,0,2,0,6,4.106377316818027,1
35,0,1,9,19,0,0,0,3,0,8,3.957295873840568,0
76,0,1,17,20,0,1,0,3,0,15,4.676533803374895,1
24,0,1,17,0,0,1,0,2,0,6,3.7201755214643457,0
77,8,0,17,53,0,4,0,1,0,11,4.560327495842966,0
30,0,1,22,1,0,0,0,2,0,6,3.831401845392172,0
32,0,2,23,1,1,0,0,3,0,7,3.944548827786958,0
34,0,1,25,1,1,0,0,2,0,6,4.0796786498829745,1
76,0,1,23,45,1,3,0,2,0,12,4.161648023061635,0
85,37,2,18,60,0,0,0,4,0,9,4.7146249073340405,1
29,0,1,22,0,0,0,0,2,0,5,4.168325822713779,0
67,0,1,26,34,0,1,0,3,0,9,4.233104116570089,0
127,24,3,50,19,1,1,0,4,3,18,4.831540342793536,1
17,0,0,10,0,0,0,0,1,0,4,3.6168746059562222,0
68,0,1,19,42,0,6,0,2,0,14,4.215400709689343,0
141,10,1,38,86,1,1,0,2,0,19,5.119166850599766,1
90,21,2,23,60,0,0,0,5,0,13,4.49769799346044,1
126,15,3,50,19,0,1,0,4,3,18,4.7008103025168735,1
32,0,2,24,1,0,1,0,3,0,8,4.007048827786958,1
36,0,1,17,12,0,1,0,2,0,7,4.027719015921097,0
51,1,0,19,25,0,0,0,2,0,9,4.179504450061347,1
83,1,1,20,55,1,1,0,3,0,14,4.302397492800559,1
76,10,3,50,19,0,1,0,4,2,10,4.48239054676748,1
65,8,1,18,40,0,1,0,3,0,13,4.456607235938957,1
35,0,1,22,1,1,0,0,2,0,10,4.321721231045239,0
34,0,1,25,1,1,0,0,2,0,6,4.043057694064253,0
30,0,1,22,1,0,0,0,2,0,6,3.8444138295776114,0
72,5,1,16,48,1,5,0,2,0,14,4.456616023160489,0
40,0,1,15,18,0,0,0,3,0,9,4.065311532225102,1
26,1,1,16,3,0,0,0,2,0,7,3.671405583442497,1
66,16,1,12,46,1,0,0,2,0,21,4.0096374010881695,1
81,5,1,15,59,0,0,0,3,0,14,4.610058225866664,0
31,1,1,24,0,0,0,0,2,0,5,4.1313003425053605,0
94,7,1,26,61,0,0,0,3,0,10,4.928608108149388,1
54,0,1,14,32,1,2,0,2,0,9,4.372865456180308,0
64,0,1,17,40,0,1,0,3,0,13,4.347274413893479,1
101,0,1,24,70,0,10,0,2,0,18,4.292103743207837,0
106,5,1,22,77,0,1,0,3,1,17,4.770262958032649,1
34,0,1,27,0,0,1,0,2,0,6,4.0796786498829745,1
97,18,2,17,73,0,0,0,4,2,12,4.677895802435424,1
119,11,1,25,77,1,2,0,2,0,19,5.309018313893113,1
71,8,3,63,1,0,1,0,4,0,9,4.677277578040113,1
96,45,1,20,69,0,8,0,2,0,16,4.673940501696144,1
40,0,0,9,24,0,0,0,2,0,9,4.065311532225102,1
24,0,1,16,1,0,0,0,2,0,6,3.4072682296173893,0
188,35,1,24,148,0,9,0,4,4,26,5.009468168454066,1
65,6,1,48,10,0,0,0,3,1,7,4.4413192596360185,1
70,0,0,24,39,0,1,0,2,0,11,3.903146588957414,1
43,0,1,25,11,0,0,0,2,0,6,4.126862359796814,0
58,0,1,16,34,1,0,0,2,0,9,4.355646031166067,0
45,0,1,16,21,1,0,0,2,0,8,4.008985186258551,0
41,6,0,8,6,0,0,0,1,0,9,4.289882797037173,1
22,0,1,15,0,0,0,0,2,0,5,3.9139770731827506,1
44,0,1,35,1,1,0,0,2,0,6,4.25217217593812,1
74,2,2,19,48,0,0,0,4,0,14,4.506920434285952,0
47,0,1,20,20,0,2,0,2,0,8,4.1613134590103185,0
430,17,2,13,10,0,0,1,24,0,99,4.7147887327312095,1
26,0,1,19,0,0,0,0,2,0,5,3.825251737288651,0
56,0,1,22,27,0,3,0,2,0,9,4.282639243749494,0
77,2,1,14,55,1,8,0,2,0,17,4.387859360756269,0
39,0,0,18,14,0,0,0,1,0,7,3.926588925024018,0
104,6,1,20,4,0,0,1,4,0,12,5.117339151300367,1
52,0,1,23,22,0,1,0,3,0,8,4.322579324069082,1
48,5,0,7,33,1,1,0,1,0,9,4.912782031835942,1
63,7,1,12,44,0,3,0,3,0,12,4.635954630420266,0
48,6,1,20,20,1,0,0,3,0,9,4.373734053066622,1
65,21,0,12,46,0,0,0,2,0,8,4.6340781059895715,1
19,0,0,7,5,0,1,0,1,0,6,3.74741303953164,1
50,0,1,27,16,0,0,0,2,0,7,4.20637013015618,1
28,11,2,14,7,0,0,0,3,0,8,3.56610893983748,1
26,0,1,17,1,1,0,0,2,0,6,3.53641423712223,0
76,5,1,17,52,0,6,0,3,0,14,4.642489770439049,0
68,6,3,37,23,1,3,0,5,0,13,4.382853973629237,1
57,0,1,14,36,0,1,0,3,0,12,4.242623296373615,1
50,4,2,25,18,0,1,0,3,0,10,4.239079570624174,1
73,3,3,41,24,1,2,0,7,0,17,4.365162100304156,1
40,0,1,13,20,0,0,0,3,0,8,4.106198332810095,0
102,1,1,14,8,0,0,0,6,1,24,4.332736030038557,1
65,0,1,26,32,0,3,0,2,0,10,4.258240266868478,0
78,0,1,13,58,0,1,0,3,1,13,4.261202584897221,1
43,0,1,15,6,1,2,0,2,0,10,4.536388882458135,0
44,0,1,18,18,1,1,0,2,0,7,4.07775008410386,0
35,3,1,16,12,0,0,0,2,0,7,4.229003731107053,1
50,1,0,17,26,0,1,0,2,1,9,4.183981820580905,1
47,3,2,15,25,0,1,0,4,1,10,4.21937847929118,1
55,0,1,19,29,0,0,0,3,1,9,4.142939096461846,1
61,0,3,44,10,0,3,0,4,2,11,4.189117157931288,1
107,20,1,19,81,0,1,0,2,0,14,4.614848684919354,1
87,1,2,18,62,0,0,0,7,0,17,4.530370980033227,1
58,3,3,40,11,0,3,0,4,1,11,4.277830296994046,1
19,0,0,12,0,0,0,0,1,0,4,3.4316235658474303,0
61,4,1,17,37,0,0,0,3,0,12,4.344329141937196,1
23,0,1,14,1,1,0,0,2,0,6,3.7622673906514943,0
31,8,0,6,4,0,0,0,1,0,7,4.260332600569877,1
52,2,1,24,21,0,1,0,2,0,10,4.340762325751906,0
48,0,1,17,24,0,2,0,2,0,10,4.038320189106,0
55,0,1,30,17,1,1,0,2,0,9,4.044527214700469,1
31,0,0,22,1,1,0,0,1,0,5,3.977916874693636,0
42,1,5,29,6,0,0,0,6,0,10,4.189238255803027,1
31,0,1,22,1,1,0,0,2,0,6,4.042433003725894,0
29,0,2,21,1,0,0,0,3,0,7,3.83127625337525,0
96,10,0,20,69,0,7,0,1,0,16,4.6389319046151405,0
129,5,1,33,83,1,1,0,2,0,19,5.269993098167763,1
48,0,1,13,28,0,0,0,3,0,9,4.209147917027245,0
127,20,3,50,19,1,1,0,4,3,18,4.845831026631984,1
238,37,1,19,13,1,0,0,14,2,36,4.834376030075721,1
28,2,1,20,1,0,0,0,2,0,6,4.137537511266052,1
40,14,2,14,19,0,0,0,3,0,7,3.987326145256008,1
